text,label,lang_detected
RT @EFEnoticias: Arrimadas se presenta a las generales   sacar a Sánchez de Moncloa  #EFEURGENTE,0,es
"@gabrielrufian Derecho a la autodeterminación - Golpe de estado  Presos políticos - Golpistas  Merienda con los colegas - Rebelión  15 meses, no hay plan B - Hasta pudrirme de pasta   De nada.",0,es
#URGENTE ???? #Cataluña: Los CDR atacan con pintura el cuartel de la @guardiacivil  Vic La kale borroca catalana actuando con total impunidad. #elecciones2019votoderechas #jusapol @jusapol @AFAPOL_ #EquiparacionYa  https://t.co/eHmn0ICRKt,0,es
"Cansado de los eslóganes de izquierdas y derechas. Quiero un país que progrese, que acabe con los chiringuitos, los privilegios políticos, las condonaciones bancarias a los partidos que olvidan a las personas ¿es izquierdas o es derechas? Sinceramente me da igual, quiero valores https://t.co/j1Ztzi1GC2",0,es
Le recuerdo a @EnricJuliana que en Cataluña los no indepes no nos podemos manifestar!!! #RelatorARV,2,es
RT @agdjunt: Cita de Machado que no verás reproducir en los homenajes que ciertos políticos le están haciendo https://t.co/efYA4MjgNd,0,es
Me parece muy raro que la gallifanta y toda la patulea indepe no hayan hecho mención alguna a las declaraciones de los testigos que comprometen a los golpistas. Van a tener que tomar Almax para digerir bien la realidad   #JuicioProces,0,es
Así es Inés Arrimadas: su carrera en 10 vídeos https://t.co/AgHYYeboN4,2,es
#1O Qué hecho delictivo o indicio de delito es que a #Trapero no le gustara el nombramiento del ahora coronel Pérez? Llevamos media hora con esta absurda cantinela,1,es
🔴Os contamos un hecho lamentable y es como unos radicales separatistas han acosado a un mujer que se ha negado a cerrar su negocio en Barcelona. Lo podéis ver 👇 https://t.co/qZZu79VYad,0,es
? #EnDirecto @rogertorrent cree que la intervención de @junqueras se leerá  en los libros de historia  #JuicioProces https://t.co/xIuUKKWTze https://t.co/FuQOlnAyQz,0,es
"RT @PJuvencioC: @lopez_vallet Hitler hizo exactamente lo que los indepes, pervertir la ley mediante el fraude para acabar con todos los con…",0,es
"@ErnestoEkaizer Dígale al imbécil de Alfonso Guerra que en su transición había un ejército que ya hizo de “relator” en la redacción de la constitución. Llámale relator, llámale amenazador.",1,es
"@RupertCocke @sarcasmodigame @MariadelMarMen9 Estoy de acuerdo, pero es que no se ha empezado ni a debatir… Para ir de la A a Z, lo importantes es pasar por B C D E…, es decir, introduciendo la democracia directa poco a poco... A TODOS los políticos (incluidos indepes) les interesa mantener la Partidocracia.",1,es
"Aquí tenéis la miga del independentismo. Alguien q llama invasores a quienes han sido elegidos democráticamente (no a dedo como los presidents) Alguien cuyo argumento es el insulto, alguien q dice q ¡Cat es una nación! ¡Y anterior a España! Discípulo d Cucurull y d la estulticia https://t.co/2xVsKf00EZ",0,es
