id,text,label
ES_000,Brayard: Los nazis quisieron ocultar el exterminio de los judíos alemanes @elobrerodigital https://t.co/OqWGeWTPrQ #23F #EG28A #GolpeDeEstado23F #ApuntaMiNombreVox #Desahucios #Manifiesto #PartidoComunista #Marxismo,1
ES_001,Vegi l'acte nazi en un hospital públic de la Generalitat. Está todo en el Programa 2000 de Jordi Pujol. También el uso de los hospitales para difundir nacionalismo. En el Hospital Clínico... https://t.co/uGlxkGy6iZ,0
ES_002,"@InesArrimadas Sin referendum, como sabes que son millones de catalanes constitucionalistas? Curioso. Quizá es que has ido a millones de casas a preguntar, cierto? A Bruselas puedes contar lo que quieras, sólo faltaría! Veremos que caso te hacen. Quizá allí también hay millones de los tuyos.",1
ES_003,"Felipe González impartiendo lecciones de democracia a los venezolanos. De la “OTAN de entrada no”, la X del GAL, Intxaurrondo, Galindo, Juan Guerra, Luis Roldán, Filesa, Garzón y el Banco de España no le han preguntado. Qué raro. https://t.co/CMxM7NxvYp",1
ES_004,"@GNoub @lemonlemonlimon @oriolguellipuig Eso lo hace España y cualquier CCAA, enchufan en altos cargos a los amiguetes afines y cuando se cambia de gobierno, si es otro partido, los destituyen para colocar a los suyos, cosa que está mal, pero se hace y Catalunya no es una excepción...menuda purga hizo Puigdemont!",0
ES_005,En España somos tan Fascistas que: - Se hacen homenajes públicos a terroristas. - Un padre no puede llevar flores a su hija porque un niñato no dice donde esta el cadáver. - Asaltan nuestra frontera y agreden a nuestros cuerpos de seguridad. - Son legales partidos separatistas,0
ES_006,"El baño de Declaraciones de Enric Millo en el Juicio Farsa... ...Es que le gusta mucho usar Fairy , hace más espuma. #Millo #judicifarsa #absolució https://t.co/F4hxAq9d8I",1
ES_007,La UE veta la fusión entre Siemens y Alstom y enfurece Alemania y Francia https://t.co/m4EMUy0aLe,2
ES_008,Leed a Don Julio que sabe de lo que habla en relación a temas publicitarios sobre los que han declarado testigos está tarde. 👇 #JuicioDelProces https://t.co/KrjzDceW11,0
ES_009,"Quim Torra acusa a Tajani, presidente de la Eurocámara, de protagonizar “una de las acciones más antidemocráticas: violar el principio de la libertad de expresión” y de ser un títere de la derecha. Tiene gracia viniendo del gremlin de Puigdemont. https://t.co/sz2uD18eb8",0
ES_010,"RT @LpgpLuis: En PODEMOS la voz la tenemos los inscritos, aunque esto moleste y mucho a la caverna mediática. #LaPatriaSonPersonas https://…",1
ES_011,"RT @CaraotaDigital: Duque recibió credenciales de embajador venezolano de Guaidó en #Bogotá ,, https://t.co/EcrMRPc6hE",2
ES_012,"Oriol Junqueras, candidato de la alianza europea de partidos independentistas https://t.co/bxXIHLn9EM",2
ES_013,"Ahora que leo esto de Raül Romeva he recordado una cosa: mientras los medios españoles criticaban que los independentistas estuvieran al lado de un coche de la guardia civil abierto y con armas, dejar un coche así era infracción de los agentes. https://t.co/Yt3upNTHUC",1
ES_014,RT @ciruela_negra: Pablo Hasel en solidaridad con Abimael Guzmán y los presos políticos del Perú. @PabloHasel https://t.co/lxSIxFWBJB,1
ES_015,La Che-neralitat y sus amigos están tan acostumbrados a su mafieta y a que no haya separación de poderes que Chordi Xanxez se ha olvidado que España es una democracia y ya ha dictado sentencia absolutoria... para qué esperar al juez? Si es que no se les puede sacar de su cortijo https://t.co/QJ6y4eQdk7,0
ES_016,Los procesados tienen la misma desventaja de tener que usar el castellano para declarar que el alumno que tiene que resolver ecuaciones matemáticas en catalan. #JuicioProces,0
ES_017,@rogertorrent ha convertido el #Parlament en el club privado de los separatistas e impide que el partido más votado en Cataluña defienda a todos los catalanes. https://t.co/jo7LCgCDXX,0
ES_018,@Capitan23875159 @enSergioles @J_Zaragoza_ Reino Unido. Ya te irás enterando. Por eso Puigdemont y el Consell de la República tienen puertas abiertas en Westminster. https://t.co/NKIKXvzh0c,1
ES_019,"Nunca será patriota quien se debe a los bancos, quien acepta sin rechistar el austericidio de Bruselas, quien no invierte en sanidad y educación, quien no quiere acabar con el art. 135 que nos quitó la soberanía. #LaPatriaSonPersonas",1
ES_020,#URGENTE por si no lo vio!??? @NicolasMaduro reconoce a Juan Guaido @jguaido como presidente interino de Venezuela y lo acusa mas bien de no haber llamado a elecciones #AunqueUstedNoLOCrea y via @venevision RT @partidoPSUV #6FEB https://t.co/nlTpANwFw6,2
ES_021,"Si queremos una España en la que quepamos todos #elecciones2019votoderechas #28abrilElecciones Estos impresentables, mienten, por sus actos les conocemos, solo quieren el poder, sin importarles la ruptura de nuestro Estado de Derecho. 👇👇 https://t.co/cljt74rmsg",0
ES_022,"@milobanos Para nosotros la mejora es la independencia. Lo siento, no creemos en el estado español ni lo consideramos nuestro. El punto de no retorno ya se pasó.",1
ES_023,"Desde esta cuenta les pido a mis seguidores MÁXIMA DIFUSIÓN. ? Domingo, 12:00 horas. ? Plaza Colón de Madrid. Manifestación contra Sánchez convocada por VOX, PP Y CIUDADANOS. #Españanoserompe #SanchezDimisión #EleccionesYa #EspañaEnLibertad ¡ESPAÑA PIDE ELECCIONES! https://t.co/UXKfKtDi5O",0
ES_024,"España repite en la élite de países con mayor respeto por los derechos políticos. Supera a Francia, Reino Unido, Italia y EEUU en libertades civiles, según el informe de Freedom House relativo a 2018. #CumpleLaLey #LaSilenciosaCat #EleccionesYa https://t.co/N075ninQVF",0
ES_025,RT @elclubdelahucha: Un discurso responsable y sosegado por parte de @sanchezcastejon qué falta nos hace! #SánchezEnRTVE,0
ES_026,Florentino Pérez a favor de la independencia de Cataluña. Es la unica forma de ganar la liga . Ha dicho.,1
ES_027,"#LaPatriaSonPersonas por eso el 28 de Abril, un partido animalista, le dará el sorpasso al partido de personas. Ya carga incluso el PACMA contra Podemos. Viene el sorpasso. https://t.co/VAUXMogcyG",0
ES_028,#Trapote Cortando las carreteras el #1oct y coacción y agresión a quienes protestan. ¿Son estas las barricadas sobre las que interroga el letrado #Pina? Gusto en complecerle. #JuicioDelProces https://t.co/tIqWarjq6A,0
